entity_type,id,username,password,full_name,role,disabled,project_id,project_name,project_description,task_title,task_description,status,priority,deadline,assignee_id,created_at,updated_at
user,u-pm,pm,admin123,Project Manager (PM),ADMIN,0,,,,,,,,,
user,u-1,nguyenvana,123456,Nguyễn Văn A,USER,0,,,,,,,,,
user,u-2,tranthib,123456,Trần Thị B,USER,0,,,,,,,,,
user,u-3,lethic,123456,Lê Thị C,USER,0,,,,,,,,,
user,u-4,phamvand,123456,Phạm Văn D,USER,0,,,,,,,,,
user,u-5,hoangthie,123456,Hoàng Thị E,USER,0,,,,,,,,,
user,u-6,phanvanf,123456,Phan Văn F,USER,0,,,,,,,,,
user,u-7,vuthig,123456,Vũ Thị G,USER,0,,,,,,,,,
user,u-8,dangvanh,123456,Đặng Văn H,USER,0,,,,,,,,,
user,u-9,buitihi,123456,Bùi Thị I,USER,0,,,,,,,,,
project,proj-1,,,,,,,TaskMate App,Ứng dụng quản lý công việc TaskMate,,,,,,,
project,proj-2,,,,,,,Website Công ty,Website giới thiệu và quảng bá công ty,,,,,,,
project,proj-3,,,,,,,Mobile App,Ứng dụng di động đa nền tảng,,,,,,,
task,t-1,,,,,,proj-1,,,Setup repository,Git repo và CI/CD pipeline,Todo,High,2025-03-15,u-1,2025-02-01T09:00:00.000Z,2025-02-01T09:00:00.000Z
task,t-2,,,,,,proj-1,,,Thiết kế database,ERD và migrations,Todo,High,2025-03-20,u-2,2025-02-02T10:00:00.000Z,2025-02-02T10:00:00.000Z
task,t-3,,,,,,proj-1,,,API Auth,Login logout JWT,InProgress,High,2025-03-25,u-1,2025-02-05T08:00:00.000Z,2025-02-18T14:00:00.000Z
task,t-4,,,,,,proj-1,,,Frontend Dashboard,Giao diện dashboard và charts,InProgress,Medium,2025-04-01,u-3,2025-02-10T09:00:00.000Z,2025-02-20T11:00:00.000Z
task,t-5,,,,,,proj-1,,,Unit tests,Jest cho API và components,Done,Medium,2025-02-28,u-4,2025-02-12T10:00:00.000Z,2025-02-25T16:00:00.000Z
task,t-6,,,,,,proj-1,,,Tích hợp automation,Rule nhắc deadline,Todo,Low,2025-04-10,u-2,2025-02-15T11:00:00.000Z,2025-02-15T11:00:00.000Z
task,t-7,,,,,,proj-1,,,Deploy staging,Docker và staging env,InProgress,High,2025-03-28,u-5,2025-02-18T08:00:00.000Z,2025-02-22T09:00:00.000Z
task,t-8,,,,,,proj-1,,,Tài liệu API,OpenAPI Swagger,Todo,Low,2025-04-15,u-3,2025-02-20T14:00:00.000Z,2025-02-20T14:00:00.000Z
task,t-9,,,,,,proj-1,,,UAT với stakeholder,User acceptance testing,Done,Medium,2025-03-01,u-1,2025-02-22T09:00:00.000Z,2025-02-28T17:00:00.000Z
task,t-10,,,,,,proj-1,,,Refactor components,Tách component tái sử dụng,InProgress,Low,2025-04-05,u-4,2025-02-25T10:00:00.000Z,2025-03-02T12:00:00.000Z
task,t-11,,,,,,proj-1,,,Error boundary,Xử lý lỗi toàn cục,Todo,Medium,2025-04-12,u-5,2025-02-28T09:00:00.000Z,2025-02-28T09:00:00.000Z
task,t-12,,,,,,proj-1,,,Logging middleware,Structured logging,Todo,Low,2025-04-18,u-2,2025-03-02T10:00:00.000Z,2025-03-02T10:00:00.000Z
task,t-13,,,,,,proj-1,,,Rate limiting,Giới hạn request theo IP,InProgress,Medium,2025-04-22,u-1,2025-03-05T08:00:00.000Z,2025-03-15T14:00:00.000Z
task,t-14,,,,,,proj-1,,,Cache Redis,Tích hợp Redis cache,Todo,High,2025-04-28,u-3,2025-03-08T11:00:00.000Z,2025-03-08T11:00:00.000Z
task,t-15,,,,,,proj-1,,,Health check endpoint,/health cho load balancer,Done,Low,2025-03-10,u-4,2025-03-10T09:00:00.000Z,2025-03-12T16:00:00.000Z
task,t-16,,,,,,proj-1,,,Env config,Biến môi trường theo stage,Done,Medium,2025-03-15,u-5,2025-03-12T10:00:00.000Z,2025-03-18T11:00:00.000Z
